Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-06-30,136.169998,137.410004,135.869995,136.960007,136.555817,63261400,0.005801637744020513
2021-07-01,136.600006,137.330002,135.759995,137.270004,136.864899,52485800,0.004904816768456017
2021-07-02,137.899994,140.000000,137.750000,139.960007,139.546967,78852600,0.014938456052434622
2021-07-06,140.070007,143.149994,140.070007,142.020004,141.600876,108181800,0.013921588509665715
2021-07-07,143.539993,144.889999,142.660004,144.570007,144.143356,104911600,0.007175798036997216
2021-07-08,141.580002,144.059998,140.669998,143.240005,142.817276,105575500,0.011724840913619911
2021-07-09,142.750000,145.649994,142.649994,145.110001,144.681763,99890800,0.016532406304728624
2021-07-12,146.210007,146.320007,144.000000,144.500000,144.073563,76299700,-0.011695553779708049
2021-07-13,144.029999,147.460007,143.630005,145.639999,145.210190,100827100,0.011178226835924544
2021-07-14,148.100006,149.570007,147.679993,149.149994,148.709824,127050800,0.007089722872799781
2021-07-15,149.240005,150.000000,147.089996,148.479996,148.041809,106820300,-0.005092528642035335
2021-07-16,148.460007,149.759995,145.880005,146.389999,145.957977,93251400,-0.013943202899081108
2021-07-19,143.750000,144.070007,141.669998,142.449997,142.029602,121434600,-0.009043499130434809
2021-07-20,143.460007,147.100006,142.960007,146.149994,145.718674,96350000,0.018750779790495914
2021-07-21,145.529999,146.130005,144.630005,145.399994,144.970901,74993500,-0.0008933209708880108
2021-07-22,145.940002,148.199997,145.809998,146.800003,146.366760,77338200,0.005892839442334742
2021-07-23,147.550003,148.720001,146.919998,148.559998,148.121582,71447400,0.006845103215619749
2021-07-26,148.270004,149.830002,147.699997,148.990005,148.550323,72434100,0.00485601254856644
2021-07-27,149.119995,149.210007,145.550003,146.770004,146.336853,104818600,-0.01575906034599846
2021-07-28,144.809998,146.970001,142.539993,144.979996,144.552139,118931200,0.0011739382801454947
2021-07-29,144.690002,146.550003,144.580002,145.639999,145.210190,56699500,0.006565740458003424
2021-07-30,144.380005,146.330002,144.110001,145.860001,145.429535,70382000,0.010250699187882698
2021-08-02,146.360001,146.949997,145.250000,145.520004,145.090546,62880000,-0.005739252488799935
2021-08-03,145.809998,148.039993,145.179993,147.360001,146.925110,64786600,0.010630292992665727
2021-08-04,147.270004,147.789993,146.279999,146.949997,146.516327,56368300,-0.0021729272174122027
2021-08-05,146.979996,147.839996,146.169998,147.059998,146.626007,46397700,0.0005443053624794456
2021-08-06,146.350006,147.110001,145.630005,146.139999,145.927017,54067400,-0.001434964068262619
2021-08-09,146.199997,146.699997,145.520004,146.089996,145.877090,48908700,-0.0007524008362324569
2021-08-10,146.440002,147.710007,145.300003,145.600006,145.387817,69023100,-0.005736110274021883
2021-08-11,146.050003,146.720001,145.529999,145.860001,145.647430,48493500,-0.0013009380081970465
2021-08-12,146.190002,149.050003,145.839996,148.889999,148.673019,72282600,0.018469094760666303
2021-08-13,148.970001,149.440002,148.270004,149.100006,148.882721,59318800,0.0008726924825623869
2021-08-16,148.539993,151.190002,146.470001,151.119995,150.899765,103296000,0.017369073122280133
2021-08-17,150.229996,151.679993,149.089996,150.190002,149.971130,92229700,-0.0002662184721086406
2021-08-18,149.800003,150.720001,146.149994,146.360001,146.146698,86326000,-0.022963964827156864
2021-08-19,145.029999,148.000000,144.500000,146.699997,146.486206,86960300,0.011514845283836709
2021-08-20,147.440002,148.500000,146.779999,148.190002,147.974045,59947400,0.005086814906581459
2021-08-23,148.309998,150.190002,147.889999,149.710007,149.491837,60131800,0.00943974795279805
2021-08-24,149.449997,150.860001,149.149994,149.619995,149.401947,48606400,0.0011374908224320176
2021-08-25,149.809998,150.320007,147.800003,148.360001,148.143784,58991300,-0.009678906744261462
2021-08-26,148.350006,149.119995,147.509995,147.539993,147.324982,48597200,-0.0054601480771089275
2021-08-27,147.479996,148.750000,146.830002,148.600006,148.383453,55721500,0.007594318079585571
2021-08-30,149.000000,153.490005,148.610001,153.119995,152.896851,90956700,0.02765097315436234
2021-08-31,152.660004,152.800003,151.289993,151.830002,151.608734,86453100,-0.005436931601285554
2021-09-01,152.830002,154.979996,152.339996,152.509995,152.287735,80313700,-0.0020938755205931613
2021-09-02,153.869995,154.720001,152.399994,153.649994,153.426071,71115500,-0.0014297849298038668
2021-09-03,153.759995,154.630005,153.089996,154.300003,154.075134,57808700,0.0035120188446936427
2021-09-07,154.970001,157.259995,154.389999,156.690002,156.461655,82278300,0.011098928753313982
2021-09-08,156.979996,157.039993,153.979996,155.110001,154.883957,74420200,-0.011912313974068318
2021-09-09,155.490005,156.110001,153.949997,154.070007,153.845474,57305700,-0.009132406935095233
2021-09-10,155.000000,155.479996,148.699997,148.970001,148.752899,140646400,-0.03890321935483873
2021-09-13,150.630005,151.419998,148.750000,149.550003,149.332062,102404300,-0.007169899516367986
2021-09-14,150.350006,151.070007,146.910004,148.119995,147.904129,109296300,-0.014832131100812983
2021-09-15,148.559998,149.440002,146.369995,149.029999,148.812805,83281300,0.0031637116742556522
2021-09-16,148.440002,148.970001,147.220001,148.789993,148.573151,68034100,0.002357794363274241
2021-09-17,148.820007,148.820007,145.759995,146.059998,145.847137,129868800,-0.01854595397243864
2021-09-20,143.800003,144.839996,141.270004,142.940002,142.731689,123478900,-0.005980535341157198
2021-09-21,143.929993,144.600006,142.779999,143.429993,143.220963,75834000,-0.0034739110978765906
2021-09-22,144.449997,146.429993,143.699997,145.850006,145.637451,76404300,0.009691997432163405
2021-09-23,146.649994,147.080002,145.639999,146.830002,146.616028,64838200,0.00122746680780645
2021-09-24,145.660004,147.470001,145.559998,146.919998,146.705887,53477900,0.00865024004805057
2021-09-27,145.470001,145.960007,143.820007,145.369995,145.158142,74150700,-0.0006874682017772695
2021-09-28,143.250000,144.750000,141.690002,141.910004,141.703186,108972300,-0.009354247818499221
2021-09-29,142.470001,144.449997,142.029999,142.830002,142.621857,74602000,0.0025268547587081937
2021-09-30,143.660004,144.380005,141.279999,141.500000,141.293793,88934200,-0.015035527912138904
2021-10-01,141.899994,142.919998,139.110001,142.649994,142.442108,94639600,0.00528541248564112
2021-10-04,141.759995,142.210007,138.270004,139.139999,138.937225,98322000,-0.01848191374442426
